"SEGMENT","RCA_DOM","SMALL_RCA_DOM","BALANCED_DOM","LCX_DOM", "RHO","THETA","PHI"
"LMp","4.5","4.6","4.3","4.6","0.3","83","7"
"LMm","4.5","4.6","4.4","4.5","0.7","80","4"
"LMd","4.5","4.6","4.4","4.5","1.1","79","0"
"L1p","3.7","3.9","3.8","3.8","1.6","70","-3"
"L1m","3.6","3.8","3.6","3.7","2.3","63","-5"
"L1d","3.5","3.8","3.4","3.5","3","59","-5"
"L2p","2.9","3.5","2.8","3.1","4","51","-9"
"L2m","2.5","2.9","2.5","2.8","5.3","44","-12"
"L2d","2.3","2.5","2.3","2.6","6.5","39","-17"
"L3p","2","2.1","2","2.4","8","33","-23"
"L3m","1.7","1.9","1.8","2","10.1","30","-32"
"L3d","1.4","1.7","1.6","1.9","11.8","31","-40"
"L4p","1.4","1.3","1.3","1.7","12.2","32","-46"
"L4m","1.1","1.1","1.2","1.5","11.8","33","-49"
"L4d","0.9","1","0.9","1.1","11.4","34","-52"
"C1p","3.4","3.6","3.6","4.3","1.4","86","-12"
"C1m","3.4","3.5","3.4","4.2","1.8","94","-24"
"C1d","3.3","3.5","3.5","4.1","2.2","102","-31"
"C2p","2.8","3","3.1","3.4","2.6","107","-33"
"C2m","2.8","3","3.2","3.4","3.1","116","-37"
"C2d","2.7","2.9","3.1","3.3","3.6","120","-41"
"C3p","1.7","2.2","2.6","3.3","4.1","126","-45"
"C3m","1.6","2.2","2.5","3.2","4.7","135","-51"
"C3d","1.3","2.1","2.3","2.9","5.4","141","-56"
"C4p","0.1","0.1","1.7","2.4","5.7","156","-67"
"C4m","0.1","0.1","1.5","2.2","5.9","166","-71"
"C4d","0.1","0.1","1.5","2.1","6.2","118","-73"
"R1p","4","3.9","3.1","2.8","0.5","-71","-22"
"R1m","3.9","3.8","3","2.8","1.7","-68","-24"
"R1d","3.8","3.7","3","2.7","2.6","-66","-30"
"R2p","3.5","3.3","2.7","2.3","3.4","-69","-39"
"R2m","3.4","3.2","2.7","2.2","4.6","-72","-48"
"R2d","3.2","2.8","2.5","1.5","5.6","-77","-55"
"R3p","3.2","2.6","2.1","1.2","6.2","-84","-62"
"R3m","3.1","2.6","2","1.1","6.4","-91","-69"
"R3d","3.1","2.6","2","0.8","6.7","15","-73"
"R4p","2.4","2","0.1","0.1","6.6","140","-71"
"R4m","2.2","1.6","0.1","0.1","6.2","181","-66"
"R4d","1.9","1.5","0.1","0.1","6.2","171","-57"